dtype,N_CTX,HEAD_DIM,causal,legacy_ms,final_ms,speedup,final_GROUP_SIZE_N,final_SPLIT_EXP_FACTOR,final_MAXNREG,final_USE_TMEM_RED,final_NUM_KV_BUFFERS,final_USE_EXP2_TURNSTILE
fp16,1024,64,False,0.04570946857951117,0.04307155362762607,1.0612449454387256,1,1,128,True,2,True
fp16,2048,64,False,0.14803644841335262,0.14354575441336562,1.0312840600430107,1,1,128,True,6,True
fp16,4096,64,False,0.5612401394056867,0.5427080246875702,1.034147486079251,1,1,128,True,6,True
fp16,8192,64,False,2.139402613146552,2.046596687991603,1.0453464650360704,1,1,112,True,6,True
fp16,1024,128,False,0.06751764452806902,0.06244064937485887,1.0813091344186814,1,4,128,True,3,False
fp16,2048,128,False,0.21589203623121525,0.2015132169158707,1.0713542244792187,1,4,128,True,3,False
fp16,4096,128,False,0.8095417384532733,0.7519235221994011,1.076627761404959,1,4,128,True,3,False
fp16,8192,128,False,3.103019519562417,2.876914768044008,1.0785927876730723,1,4,128,True,3,False
fp16,1024,64,True,0.0419686949427226,0.036072704664164165,1.1634474135901351,8,2,128,False,2,True
fp16,2048,64,True,0.11149909092711789,0.09807026728374409,1.1369306316308954,8,4,128,False,2,False
fp16,4096,64,True,0.3527510021929215,0.32845527059494867,1.0739696810283015,8,4,128,False,2,False
fp16,8192,64,True,1.2092630733845204,1.1320009618773497,1.068252690685913,8,4,128,False,2,False
fp16,1024,128,True,0.055982435673736265,0.04892498837300856,1.1442503623490126,8,4,128,False,3,False
fp16,2048,128,True,0.14890206877563056,0.13537501859905635,1.09992279459357,8,4,128,False,3,False
fp16,4096,128,True,0.4871007775747648,0.4630477998314834,1.051944913142952,4,4,128,False,3,False
fp16,8192,128,True,1.7306376596515098,1.6577195674815077,1.0439869888733853,4,4,128,False,3,False
fp8,1024,64,False,0.0429092342433403,0.03963975648046439,1.0824797640845045,1,2,128,True,2,True
fp8,2048,64,False,0.1329376705854367,0.12362813590776803,1.0753027181823238,1,2,128,True,8,True
fp8,4096,64,False,0.5114790797029106,0.4754721937088159,1.0757286892283457,1,2,128,True,8,True
fp8,8192,64,False,1.9342627937563004,1.792976894148861,1.078799620936838,1,2,128,True,8,True
fp8,1024,128,False,0.04929693101218383,0.0462171441390536,1.066637325401675,1,4,128,True,4,False
fp8,2048,128,False,0.15772233398175547,0.14604940633993369,1.0799245127683215,1,4,128,True,4,False
fp8,4096,128,False,0.5937724200852839,0.5449704898300991,1.089549675011576,1,8,128,True,4,False
fp8,8192,128,False,2.25963374211238,2.068436590617135,1.0924355875169467,1,8,128,True,4,False
fp8,1024,64,True,0.03867475751420142,0.03396574654217767,1.1386399962143108,8,4,128,False,2,True
fp8,2048,64,True,0.09956541075829117,0.09243364747605977,1.077155489120761,8,4,128,False,2,False
fp8,4096,64,True,0.322268998519234,0.3082869880660408,1.0453538780241936,4,2,112,False,2,False
fp8,8192,64,True,1.0841625532670456,1.0315506191911368,1.0510027652517557,4,2,112,False,2,False
fp8,1024,128,True,0.04280747675863075,0.03851203623160269,1.111535014695049,8,2,128,False,4,False
fp8,2048,128,True,0.11492073378341013,0.10771034889375633,1.0669423594270036,8,2,128,False,4,False
fp8,4096,128,True,0.3694303600240198,0.35960392237861377,1.0273257243147091,4,8,128,False,4,False
fp8,8192,128,True,1.2471250398388467,1.2088546691649409,1.0316583718871206,4,8,128,False,4,False
